SpMax_A,VE1_A,AATS7d,AATS6s,AATS8s,AATS3p,AATS1i,AATS3i,AATS4i,AATS6i,ATSC1d,AATSC0c,MATS1c,MATS5s,MATS6s,MATS7s,GATS1c,GATS6c,GATS7c,GATS1dv,GATS3dv,GATS5dv,GATS6dv,GATS3d,GATS4d,GATS6d,GATS1s,GATS2s,GATS8s,GATS2v,GATS3v,GATS7v,GATS4p,GATS8i,BCUTc-1l,BCUTd-1l,BCUTs-1h,BCUTs-1l,RNCG,RPCG,Xc-5dv,Xc-6dv,SsCH3,SdCH2,SdsCH,SsssCH,SaaaC,SssssC,SssNH,SsssN,SsOH,SssO,SdS,SsCl,MAXaasC,MINaaCH,ETA_shape_y,AETA_beta_s,AETA_eta_L,ETA_dEpsilon_D,fMF,ZMIC2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA10,SMR_VSA1,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA4,SlogP_VSA5,SlogP_VSA10,EState_VSA1,VSA_EState1,VSA_EState8,VSA_EState9,MDEC-22,MDEC-23,TopoPSA(NO),GGI3,GGI4,GGI6,GGI8,GGI9,GGI10,JGI2,FNSA1,RASA,Mor02m,Mor08m,Mor10m,Mor12m,Mor23m,Mor24m,MOMI-Z,Silicos-IT_Log_P,ESOL_Solubility_(mg/ml),GATS1i,GATS2c,AXp-0d,JGI4,PEOE_VSA1,GATS7i,GATS4s,RNCS,AATS7s,GATS5d,ETA_dAlpha_B,GATS3i,SlogP_VSA3,GATS4i,GATS6p,Mor30m,GATS2d,Mor13m,ATSC8dv,EState_VSA5,GATS1v,AETA_beta_ns_d,Mor26m,GATS4dv,Mor03m,MLOGP,IC1,Ali_Log_S,Mor31m,EState_VSA4,GATS8c,Xc-3dv,SpDiam_A,ATSC1dv,SaaS,GATS3c,AMID_C,GGI7,GATS5i,AATS2i,AATSC0v,ETA_epsilon_5,SMR_VSA3,CIC2,CIC1,MATS8s,GATS3s,SdssC,GATS7dv,GATS8dv,ATSC7d,GATS7p,SdO,SMR_VSA4,SssS,AETA_alpha,MAXaaCH,GATS1d,GATS6s,GATS2i,AATS5d,SsNH2,SddssS,PEOE_VSA9,GATS5p
2.443940753,4.178208277,2.941176471,2.863984674,2.760162602,1.593661858,147.1796749,157.7127406,157.5471253,159.3377075,5.948242188,0.01397489853,-0.2495754875,-0.1489715073,-0.06752133943,0.0172003215,1.182327592,1.129314406,0.9915227988,0.4987709497,1.039106145,1.126852886,1.048661144,1.230805161,1.258317277,1.071025181,0.7844495892,1.028766213,0.9733404636,0.9234438227,0.8775167219,1.011986906,0.9952632364,0.8725859419,-0.3951118671,1.734391607,3.05962641,1.43179288,0.1909963421,0.1271728419,0.06587175382,0.0,0.0,0.0,0.0,0.0,1.742872103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300491308,1.75548947,0.3,0.6666666667,0.1705503255,0.02251082251,0.65625,32.27661356,4.983978521,5.098681808,6.066367068,36.39820241,24.15398221,5.693927995,0.0,22.64523548,0.0,25.14929918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2543515,17.20232731,67.35,0.8055555556,1.006666667,0.2277097506,0.06701152683,0.026875,0.01632486481,0.06734006734,0.3655091099,0.8861928707,18.1625912,-1.096148384,0.5432375962,1.737758926,-0.6661725059,0.1547938535,1055.345577,3.42,0.147,1.072004703,1.246185255,0.670033492,0.03471264368,0.0,0.8791572019,1.023417011,53.53846282,2.905228758,1.083108542,0.02380952381,0.9820893794,0.0,1.009621081,1.082922621,0.2107422011,0.9904361534,-1.045147515,-4.77734375,0.0,0.766774918,0.0,0.03312699174,1.133780261,-1.931001647,0.93,2.925608112,-2.82,-0.03921840821,33.67863691,0.8710952174,0.3862693728,4.839461542,26.32421875,0.0,0.9519083427,1.614035966,0.1771187642,1.017370614,150.6171579,46.0281797,0.7727272727,25.14929918,1.075199124,2.074391888,0.03554139831,0.9485281798,0.0,1.037747837,1.054312577,-1.129882813,0.9741106142,0.0,0.0,0.0,0.4761904762,1.965147392,0.5734104046,1.014141547,1.268281717,3.483333333,0.0,0.0,22.42125742,1.00979996
2.479157266,4.547174271,3.071428571,2.793582375,2.642655367,1.559693289,148.4885439,156.9974297,159.1825006,162.2429162,14.91975309,0.01425164682,-0.5025169592,0.1832141975,0.0005662273498,0.03522916934,1.611680411,1.423719337,1.191607552,0.4638192268,1.159156785,0.8658313908,0.964559387,1.151004193,0.9995704803,0.9045160161,0.9224042748,0.7223819476,0.9892888929,0.8342492746,1.042052105,0.9176672295,1.145912559,1.040191426,-0.3832819307,0.9925253549,3.057290442,1.434148518,0.1597759284,0.09344475674,0.1469872085,0.0,6.223711232,0.0,7.445865085,0.0,0.0,0.0,3.467632958,1.754432169,0.0,0.0,0.0,0.0,1.279765107,1.989285604,0.3648648649,0.6693548387,0.219804709,0.02971652004,0.5185185185,30.15823057,14.98529578,5.425791397,18.20875424,62.23960296,23.15437369,12.16293986,0.0,11.38785599,10.74258,26.29938345,26.93698721,28.33916347,5.687386275,0.0,0.0,6.799987372,0.0,10.00791679,24.46744655,83.3,1.791666667,1.988888889,0.6540136054,0.2902730537,0.291882716,0.2356881951,0.07111111111,0.360995578,0.8960762815,29.42344251,-2.414231418,0.8716442058,1.432149594,-0.7600180486,0.1129777564,2149.026985,3.76,0.0102,1.273040708,1.121534753,0.6894086529,0.04625322997,10.30076712,0.9631379061,1.086212904,28.92047703,2.559964727,0.9995704803,0.02258064516,1.055806262,6.544756406,1.157269144,0.9082556436,0.2472222515,1.206499555,-1.607888217,-36.0,11.12690298,0.8958941687,0.01612903226,-0.1455482031,0.9698135198,-3.419458659,2.45,3.703354099,-4.54,-0.08074258167,46.02638289,1.130587517,0.9619196634,4.848826338,88.0,0.0,1.080107949,1.607335694,0.5755385488,1.051461552,154.9564336,49.59307996,0.7606060606,25.38663948,1.083876389,2.051533403,0.007790212621,1.120536096,0.9490615476,1.012285554,1.05482794,-3.944444444,0.9130021825,0.0,4.992404733,0.0,0.4774193548,2.153620492,0.6401190268,1.089970161,1.139197924,3.1,0.0,0.0,23.62654039,0.9365699445
2.553610548,4.432197729,2.898089172,2.901766004,2.304340278,1.434364884,147.0960267,159.3784206,157.5531245,158.8478566,15.40816327,0.01574823075,-0.2751540405,-0.01091529971,-0.07990210193,-0.09930677768,1.323837456,1.292941829,0.8634870136,0.4862824265,1.05437614,1.03404136,1.276869149,1.166666667,1.003033367,1.230992351,0.5579710145,0.6749311295,0.6579408213,0.8483989624,0.9219519721,1.230163811,1.065670079,0.9929475273,-0.5138731373,0.9779932935,7.008272534,1.343850104,0.1835222894,0.09868344179,0.1629577072,0.0,2.075821541,0.0,0.0,0.0,1.863045777,0.0,0.0,4.101026672,0.0,5.882335879,0.0,0.0,1.246530291,1.806829999,0.3440643863,0.6857142857,0.2333987871,0.0,0.5238095238,32.60149878,0.0,5.098681808,6.066367068,55.78460206,67.82743994,11.44343983,9.531400138,28.26427081,4.736862954,75.28902055,0.0,12.11474962,0.0,0.0,8.000447108,4.250004265,2.075821541,21.96773029,32.49749527,76.38,2.131944444,2.01,0.6679365079,0.3522297808,0.204382716,0.1396816651,0.0701754386,0.2608416274,0.8845708178,22.92103684,-3.467645881,1.32652771,1.896691312,-0.712726534,0.2370313316,2724.205579,3.31,0.0222,1.403119844,1.525928202,0.6793555896,0.03654545455,14.53668242,1.094123157,1.238605335,49.45199308,2.72965322,1.081395349,0.02666666667,0.8817956871,17.76011521,1.067310969,0.9506064234,0.2023129633,1.112178871,-1.815896137,44.47039557,5.693927995,0.9779248369,0.01428571429,-0.1774301966,0.9163391735,-5.036230522,1.29,3.576391666,-3.68,-0.08977036296,78.98310918,0.7638778965,1.009607632,5.008635141,92.22650542,0.0,1.070675212,1.623732213,0.4444444444,0.9847424485,156.9133286,49.7950503,0.8123809524,29.54826125,1.168661157,2.400888257,0.02910676718,0.9650771388,0.02347896387,1.05066548,0.8370136266,-9.326530612,1.217212024,12.58338543,0.0,0.0,0.4733333333,2.057913278,0.6308139535,1.164763093,1.113994028,3.192546584,0.0,0.0,11.21062871,0.8462198513
2.47919456,4.548122311,3.5625,3.154388821,3.126075571,1.662757373,147.8576336,158.8206985,159.1756787,159.3611707,7.349932096,0.01549032751,-0.5376742661,-0.08282610616,-0.09491617076,0.05164021434,1.543132941,1.451303718,1.003565555,0.4474048177,1.054996823,1.156148328,1.012158678,1.005928527,1.094448329,1.023757817,0.537076783,0.5778282529,0.5528812127,0.8361368736,0.9995091245,1.170841337,1.26868805,0.8781389542,-0.3836349988,0.9929188504,8.002961739,0.6049847703,0.1578605564,0.09759523029,0.1146045727,0.0,1.925263429,0.0,7.237568955,0.0,0.0,0.0,3.174007937,1.699533457,0.0,0.0,0.0,0.0,0.905947027,0.8539603229,0.3647475072,0.6693548387,0.2165514338,0.01743471582,0.5957446809,31.83179984,23.76612587,5.425791397,23.47917305,42.82867707,30.07811089,23.66690504,8.780830095,11.38785599,10.74258,21.31540493,24.72395449,16.13452668,13.91238858,11.63444168,27.00228176,2.165769906,0.0,9.781768621,24.43877474,67.51,2.166666667,1.988888889,0.696462585,0.3023904006,0.324691358,0.2026303438,0.05777777778,0.4585695509,0.7625616717,27.48782268,-2.541873193,0.02029542686,1.683786806,-0.5396658437,0.318773892,2190.410097,4.67,0.00291,0.9748353851,0.9282329246,0.6894086529,0.04419753086,5.316788604,0.9322048309,0.5752820316,34.55648829,3.250192901,1.06519121,0.02242703533,1.02585155,6.544756406,0.998355379,1.076638462,0.1169361086,1.054700227,-1.006514612,20.05890046,29.80805538,0.798112485,0.04838709677,0.01526404539,0.9206167476,-4.410404488,3.58,3.861316321,-5.49,0.348906912,39.76417839,0.9305926229,0.9822172901,4.84886367,53.14073739,1.440856245,1.112338751,1.493307708,0.5130385488,0.9139402322,153.9753421,46.71643133,0.8404761905,20.40266096,0.7394656915,1.69327253,0.009572478241,1.065779493,0.9154223356,0.8524908636,0.8295561501,-8.112267995,1.419179299,0.0,4.992404733,0.0,0.4775729647,1.934558389,0.7401305247,0.7262785625,0.9969757034,3.663157895,0.0,0.0,10.57107519,1.092928705
2.478793984,4.473770881,3.4375,2.770858771,2.677141788,1.673123576,146.1688725,154.9795386,156.3238166,157.2717485,9.372566772,0.01349493528,-0.5367914382,0.1077965309,-0.1557494756,0.1425932307,1.605557444,1.375803697,1.249043924,0.5385371777,1.030801425,0.9958392936,1.107449855,1.023674242,1.03714364,1.094129555,0.8482306971,0.9153877665,0.8602140184,0.8623184619,0.9781826456,1.160426864,1.279473385,0.9772727927,-0.383634338,0.9938424863,3.05728196,0.6049850547,0.1690279862,0.1044982807,0.1146045727,0.0,1.991639716,0.0,7.557686138,0.0,0.0,0.0,3.452896825,1.777357148,0.0,0.0,0.0,0.0,1.21158855,1.991639716,0.3091334895,0.6637931034,0.2218733688,0.01639846743,0.5957446809,33.13142796,14.98529578,5.425791397,53.8110084,30.69594294,24.01174382,12.03246336,0.0,11.38785599,10.74258,21.31540493,13.08951281,16.13452668,5.13155848,0.0,0.0,2.710479527,0.0,14.31861096,22.53967696,67.51,1.416666667,1.606666667,0.5331972789,0.2398904006,0.164691358,0.1365146414,0.05797101449,0.4116347779,0.911608274,27.64460032,-2.790862041,0.02180851767,0.742252457,-0.5864022038,0.3037120292,2090.935854,3.84,0.0056,1.134596526,1.026886441,0.676937285,0.04016666667,5.316788604,1.150832861,1.117571291,25.43902669,2.741319444,1.141637812,0.009195402299,1.041303052,6.544756406,1.170314379,1.090015135,0.275387375,1.060349952,-1.106356984,-37.40058347,5.563451492,0.8116679997,0.01724137931,-0.1276427752,1.000633914,-4.026870123,2.82,3.584304619,-5.28,0.1799467116,45.37412621,0.9545634688,0.8562291324,4.84846034,51.29797294,1.619959136,1.078594065,1.590019291,0.5130385488,1.094716697,151.8999972,50.00811246,0.7755555556,20.40266096,1.020726988,1.970284233,0.02832576314,1.044931333,1.03385855,0.998869326,1.063139687,-12.12222725,1.426756814,0.0,4.992404733,0.0,0.4908045977,2.100379751,0.6449464654,1.319684022,1.089059077,3.578947368,0.0,0.0,10.57107519,1.110864233
2.484687723,4.465964913,3.17,2.913837449,2.984889403,1.598306035,145.2487057,159.4887652,159.1539262,157.7594281,9.655047533,0.01444978724,-0.586122949,0.01203836282,-0.06774345629,-0.00825629086,1.614372904,1.25927266,1.266936745,0.5942320026,1.098187506,1.113730073,1.095390632,1.000684215,1.028155618,0.984142107,0.7869075941,0.5549929326,0.9223070414,0.8799382887,0.8872348941,0.9783675089,1.033409374,1.033896445,-0.3761913255,0.9715724923,7.014207891,0.2980105395,0.1565948713,0.09732883382,0.1110709264,0.0,3.775986215,0.0,0.0,0.0,2.033356859,0.0,2.603917549,0.0,0.0,0.0,0.0,0.0,0.9673781442,1.819881272,0.2823529412,0.6517857143,0.2480447407,0.03698412698,0.4042553191,32.01007426,28.09182741,0.0,12.99010427,25.47729296,16.63744226,16.52595619,8.417796984,21.95893118,4.722094864,34.10656467,6.9237372,24.86289132,0.0,10.02329115,27.66019284,3.889570084,-3.309492663,5.243799591,15.77250798,100.63,1.826388889,1.678333333,0.7741950113,0.377196712,0.3087654321,0.1810039792,0.07407407407,0.3954750013,0.8240972707,31.92182127,-3.176877805,-0.0630462131,0.3952347066,-0.7572712575,0.7093295999,3010.037212,5.4,0.0123,1.235389404,0.9604905337,0.7044787097,0.04195833333,4.983978521,1.033303929,1.359429241,23.49708368,2.676363169,0.9688840899,0.0,0.8627145148,16.56804756,1.091583973,0.9993169796,-0.2624602182,1.055996723,-0.7121389858,-29.56375434,11.33678588,0.8560129174,0.0,-0.5432106613,1.127793592,-5.022537656,0.41,4.019717246,-6.28,0.2054449263,37.86947981,0.8037005729,1.388101507,4.832911472,40.64373019,3.097591329,1.086684958,1.33570882,0.6180909864,0.9953751712,152.868582,52.50692735,0.8177777778,24.65800895,0.516269415,1.534871606,0.05612796893,1.24442414,0.0,1.01977527,1.024165362,-11.58352196,0.83412925,23.97426797,0.0,0.0,0.505952381,2.064991772,0.8642140921,0.867564984,1.161301083,3.416666667,0.0,-3.309492663,33.71869792,0.7973955805
2.526633439,4.574682887,3.469387755,3.658333333,3.900830737,1.594751004,147.1889596,153.1917434,157.0609274,157.4430247,10.59924386,0.02916173558,-0.4949766607,-0.07445867041,-0.1244186777,-0.01119422128,1.486387289,0.8574464152,0.9311638669,0.4916131253,1.000354625,1.002873503,1.086536255,1.255180989,0.9982172083,1.179711246,0.6659007353,0.5904261633,0.6637502907,0.8555152636,1.007327983,1.056386871,1.047185198,0.9634348594,-0.4868825717,0.9727749776,7.009368063,1.401734117,0.1538786109,0.0952698347,0.1275821809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86650503,0.0,0.0,0.7541751701,1.575034909,0.3875598086,0.6666666667,0.189290737,0.05050505051,0.5652173913,33.15744284,4.681802935,0.0,6.066367068,54.59730362,17.32374656,0.0,14.26826309,39.70116891,20.76666028,27.4645853,0.0,10.35798868,0.0,5.907179729,12.27791707,0.1623294823,0.0,13.16622083,28.475568,112.23,2.361111111,2.011666667,0.6538321995,0.3908100277,0.2493904321,0.1231527395,0.07709750567,0.4312565481,0.7294992951,27.90289226,-2.275622193,1.42947192,2.106107968,-0.6818815627,0.2657156898,2093.279906,3.13,0.0292,1.035286165,1.046260393,0.6888187153,0.04190972222,15.20739338,0.9238508864,1.069181278,166.3114418,3.776077098,1.065315004,0.03555555556,1.207620206,0.0,1.115894799,0.8724568458,0.4298381929,1.077760892,-1.70740037,27.17013233,4.681802935,0.7707667714,0.01666666667,-0.4974652165,1.019626814,-3.705846229,1.9,3.506544483,-4.4,-0.4673191603,5.563451492,0.7987170989,0.7090739295,4.902346148,39.74102079,0.0,0.8273767777,1.557415785,0.4756944444,1.011798497,150.5716193,45.48331132,0.8050505051,14.76446326,0.9830278467,2.017017473,0.2294700291,0.8802461836,-0.5318461614,0.9475536428,0.891158381,-8.862003781,1.027985271,24.71311804,5.733667477,0.0,0.4644444444,1.852930653,0.6291793313,1.203174491,1.106167404,3.472727273,5.31165637,0.0,22.63869376,0.89836922
2.554864625,4.505469282,2.975903614,2.691767068,2.68132716,1.545664457,144.8388578,154.6968957,156.6866838,155.9839035,17.22037087,0.01411582004,-0.3566992165,-0.07926246142,0.03940090273,0.06080921197,1.358289805,0.8010119468,0.8002199202,0.4383071664,1.081396737,0.9947445943,0.9166275128,1.142888526,1.161394259,0.959038262,0.5938469604,0.6296649041,0.8159634066,0.8105015071,0.9293953632,1.03340031,0.8469560856,0.9385346693,-0.4947199896,0.9777394418,7.008273069,1.343837143,0.1891213531,0.1045499747,0.191540908,0.0,3.47790223,0.0,0.0,0.0,1.880539113,0.0,0.0,1.555977941,0.0,6.175691526,0.0,0.0,1.232057947,1.778768932,0.3669902913,0.6597222222,0.2050367286,0.0,0.5081967213,34.81406799,0.0,5.098681808,6.066367068,79.06876542,55.24084271,17.19295166,9.531400138,34.01378264,4.736862954,44.65087521,0.0,22.47273829,0.0,0.0,8.289318585,0.9155404988,3.47790223,21.32644375,38.03017578,73.14,2.381944444,2.13,0.8368707483,0.3275384228,0.279691358,0.1913151719,0.06779661017,0.3018993667,0.8885019249,26.52293225,-3.256283525,1.678773877,2.497010411,-0.6498553789,0.1006502127,2891.606548,4.64,0.0014,1.212469863,1.2642319,0.6846580312,0.03610169492,9.636772685,0.9856453275,1.838308745,56.74323821,2.522590361,1.133757318,0.02314814815,1.022186978,12.96557803,0.911581462,1.055587651,0.2792573418,1.062484308,-1.995095772,-58.27895727,5.693927995,0.8935475945,0.01388888889,-0.4423888354,1.255788649,-5.335498201,2.8,3.517966614,-5.34,-0.1300212456,52.80408356,1.250105082,1.030272772,5.014623533,95.29427573,0.0,1.156356722,1.694984141,0.5243055556,1.180391551,152.5405354,49.86598846,0.7981481481,24.64835152,1.20595939,2.412770724,-0.02603706995,0.8954575719,-0.04130506027,0.9235367654,1.119501509,-7.355818328,1.047459293,12.18801804,0.0,0.0,0.4768518519,2.051964949,0.5969404058,0.5089013338,1.053194811,3.676258993,0.0,0.0,11.21062871,1.105929266
2.483893655,4.469239665,3.306930693,3.063838498,2.96941358,1.58666081,145.4544747,155.7660774,157.7326513,157.6249401,9.715277778,0.02566272021,-0.5423423379,0.06089404376,-0.05855874559,-0.02112203811,1.56315811,0.9921658912,1.186500644,0.5126343013,1.106078644,0.9620575943,1.018016407,1.130891,1.086972902,1.056533658,0.6734931658,0.7036757073,0.9228350905,0.8494276874,0.9891210266,1.045773347,1.125734453,0.9397990846,-0.4868813938,0.9779936759,7.008272213,0.6101356715,0.1605274627,0.08888261617,0.0963266143,0.0,1.952277995,0.0,0.0,0.0,0.0,0.0,2.911211787,0.0,0.0,10.93236962,0.0,0.0,0.9384880154,1.777071801,0.3464203233,0.675,0.2096745819,0.03368055556,0.5833333333,33.97362214,9.967957042,0.0,18.19910121,37.25557254,22.20089375,16.52595619,14.26826309,33.45795484,14.79051451,27.6520576,6.9237372,21.87632117,0.0,0.0,10.93236962,2.445035208,0.0,9.949004298,22.40598613,89.13,1.763888889,1.549444444,0.6157823129,0.3817476064,0.2340740741,0.1391735537,0.06944444444,0.4022984508,0.8275515626,32.99708002,-3.022810595,1.143065544,0.6041077112,-0.8539439372,0.4690717346,3118.226529,5.51,0.00715,1.149692263,1.140932247,0.6833808251,0.03689153439,19.77449303,1.110114633,1.419658596,159.4230246,2.90404596,1.084782274,0.01888888889,0.9977120468,6.544756406,1.209575689,1.181391838,0.2517276259,1.076709476,-1.439853838,13.27391975,11.33678588,0.809221746,0.0,-0.3811187736,1.079160959,-4.634639296,1.58,3.872862303,-5.62,-0.1430997774,33.40237101,0.8600610875,0.7990375584,4.832087205,53.31095679,1.534617103,0.8606452693,1.544432243,0.4748795351,1.095369296,151.4510451,48.90457884,0.8052083333,20.26872417,0.9064536459,1.712100197,0.04529252885,0.997261901,-0.1497476129,0.9783379595,0.9726777466,-6.491319444,1.089658123,12.38748025,0.0,0.0,0.4811111111,1.990367405,0.6637198622,1.045760671,1.088266819,3.525773196,0.0,0.0,12.2386844,0.9093535495
2.434987024,4.391028702,2.824175824,3.028333333,2.718706048,1.549490554,145.2372638,154.6452864,155.3612222,157.6523044,8.595463138,0.0170240073,-0.269653478,0.0005546047637,-0.02482699162,-0.04657048201,1.189782636,0.7325301143,0.8070235967,0.5009480565,1.168054304,0.9552872861,0.9717359413,1.133281192,1.046082823,0.9861451049,0.6118234099,0.7564420335,0.5789217613,0.9013067383,0.9820213868,1.060068008,0.963823597,1.042534085,-0.5164392479,0.9729522094,7.008271862,1.427567332,0.2313568702,0.09015818944,0.0761440227,0.0,1.498885423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416356525,0.0,0.0,0.9965826584,1.751492282,0.3015075377,0.6339285714,0.1842839566,0.01765188834,0.5,26.92233453,0.0,5.098681808,6.066367068,61.01812524,29.7174337,18.05032179,9.531400138,39.52165029,4.736862954,32.55544757,0.0,6.9237372,0.0,0.0,5.416356525,1.572168719,0.0,15.74333193,25.40670504,80.76,0.9930555556,1.095555556,0.4194557823,0.2262692114,0.112183642,0.1066238139,0.06878306878,0.3658323715,0.8731880815,24.84350472,-1.744620654,1.258085386,1.450149492,-0.713038085,0.1946882698,1228.460929,4.79,0.0294,1.078808284,1.292450751,0.6909544362,0.02738888889,4.736862954,1.022034516,0.5962684815,28.17492122,2.760683761,1.06756993,0.02619047619,0.9832045458,4.794537184,1.071201425,1.047841496,0.3040566839,1.156667699,-1.358320487,14.99432892,6.9237372,0.8563924788,0.01785714286,-0.1349170259,0.9990449267,-3.220402971,1.13,3.5254445,-4.13,-0.2255061634,33.77213846,0.9435662025,0.6362155437,4.818276879,48.92438563,0.0,1.015371105,1.640647526,0.3229520975,1.080224559,150.6142273,48.7209073,0.7942528736,20.16532066,0.7670480982,1.998117456,0.03008587098,1.340935981,-0.01179028347,0.8870872404,0.9321438519,1.801512287,1.062833167,11.03836416,0.0,0.0,0.4738095238,2.016593259,0.6831561296,0.926549612,1.136171152,3.22,0.0,0.0,11.38785599,0.9902267429
