SpDiam_A,AATS5d,AATS7s,AATS8s,AATS1i,AATS2i,AATS3i,AATS4i,AATS6i,ATSC1dv,ATSC8dv,ATSC1d,ATSC7d,AATSC0v,MATS6s,MATS7s,MATS8s,GATS2c,GATS3c,GATS8c,GATS1dv,GATS3dv,GATS4dv,GATS6dv,GATS7dv,GATS8dv,GATS1d,GATS2d,GATS5d,GATS2s,GATS3s,GATS4s,GATS6s,GATS1v,GATS2v,GATS5p,GATS6p,GATS7p,GATS1i,GATS2i,GATS3i,GATS4i,GATS5i,GATS7i,GATS8i,RNCG,RPCG,Xc-3dv,Xc-5dv,Xc-6dv,AXp-0d,SdssC,SsNH2,SdO,SssO,SssS,SaaS,SddssS,MAXaaCH,AETA_alpha,AETA_beta_ns_d,ETA_dAlpha_B,ETA_epsilon_5,ETA_dEpsilon_D,IC1,CIC1,CIC2,ZMIC2,PEOE_VSA1,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA10,EState_VSA4,EState_VSA5,VSA_EState8,VSA_EState9,AMID_C,TopoPSA(NO),GGI6,GGI7,JGI4,RNCS,Mor02m,Mor03m,Mor13m,Mor26m,Mor30m,Mor31m,MOMI-Z,MLOGP,ESOL_Solubility_(mg/ml),Ali_Log_S,GATS3p,BCUTs-1h,TSRW10,Mor21m,AATSC0c,EState_VSA6,BCUTi-1h,MINaasC,GATS7c,Mor23m,Xc-4dv,GATS8d,ETA_dEpsilon_C,Mor16m,AATS3d,EState_VSA3,EState_VSA1,TASA,AXp-1d,GATS7d,SMR_VSA6,EState_VSA2,PEOE_VSA3,BCUTs-1l,MATS1c,Mor10m,GATS6v,SdsN,AATS2s,SsssCH,SsCH3,VSA_EState7,Mor22m,IC2,Silicos-IT_Log_P,PEOE_VSA11,GATS5c,MATS2s,GATS2dv,Mor11m,Xc-5d,JGI3,BCUTi-1l,SaaNH,GGI5,SsOH,GATS1c,GATS5dv,GGI9,GATS3d,GATS6d,Xch-6d,SdsCH,AATS3v,Mor12m,GATS6i,iLOGP,PEOE_VSA7,SdS,SdCH2,GGI8,ATSC8d,PEOE_VSA2,SMR_VSA5,ATSC0i
4.865265677,3.53271028,3.143637227,3.385135135,151.5397617,157.5474193,163.9182458,164.7179547,165.1169809,53.6384,-30.0544,8.5936,-11.4772,46.38335578,0.06624173245,-0.02694792288,-0.06311020323,1.175789659,1.004889248,0.9752887061,0.4694502873,1.080961164,1.054019491,0.8885699107,1.047397192,1.006720808,0.7566673934,1.139452075,1.10068275,0.5823498062,0.9626907703,0.914501734,0.6829368466,0.8474360554,0.9144217359,1.040100864,0.9266635793,0.9385948302,1.083167515,1.097325073,0.9860373438,1.017239667,1.073344015,0.9223260991,1.007875642,0.1391792811,0.07010002312,0.8053607425,0.08374028396,0.0,0.6894086529,0.806811067,0.0,0.0,0.0,0.0,0.0,0.0,1.752997727,0.46359447,0.04838709677,0.03640552995,0.812605042,0.04960693955,3.981147632,1.662708558,0.6081274391,29.32088182,10.30076712,0.0,18.20875424,29.31392667,8.780830095,25.38663948,4.992404733,11.38785599,32.46515906,6.544756406,18.55817888,14.46821637,5.57310453,18.19910121,1.992124129,0.0,1.493241297,81.23,0.7112018141,0.6163548753,0.04241975309,36.58182932,30.56534244,-3.910720297,-1.724644867,-0.1041850566,0.3323877145,-0.1540221275,2853.022347,2.78,0.0196,-4.25,0.9775096794,8.00296063,82.91163098,-0.2905127463,0.01938840432,31.46137377,17.42581726,-0.377850846,1.226944908,-0.803258263,0.0,1.039365068,-0.1181869111,-0.04336405796,3.5,34.28750275,0.0,530.122251,0.430390951,1.198342026,5.316788604,24.3449737,18.75721335,1.297044182,-0.4382546374,1.163485207,0.9366191151,4.288815891,3.561419753,-0.1084500765,1.735253223,7.262521121,-0.1226296167,5.035728751,3.55,6.165775612,1.01990358,0.01676356589,0.8374319475,0.2301721281,0.3928227826,0.04253472222,10.96052467,3.229090845,0.8091666667,0.0,1.496203851,1.073040471,0.270933642,1.058698496,0.962882738,0.5652352563,7.370971197,209.9646645,1.809462015,0.8714758813,2.52,31.19885851,0.0,0.0,0.3756928697,-5.1876,15.41868244,19.63426922,127.9140774
4.848604167,3.369369369,2.820304818,2.793756146,145.6756489,152.3692317,156.7243031,158.5660927,159.4311695,59.6336,-1.5408,9.9336,-10.1108,48.00479604,-0.01323283817,-0.06183612388,0.001028379954,1.263143658,0.9479241672,0.89754036,0.4928543905,1.104689293,1.034176102,1.086820551,1.022812614,0.9796886227,0.6667444211,1.146201083,1.127544619,0.6367795801,0.7493841166,0.9985451631,0.6671579862,0.8579165357,0.8542836326,0.9749229542,0.8720432635,1.135496843,1.253901445,1.126765514,1.036446104,1.105811125,1.119860331,1.096381135,0.9783350062,0.1732788131,0.08816961431,0.7585393788,0.06274916425,0.0,0.6841461785,0.0,0.0,0.0,10.9890741,0.0,0.0,0.0,1.993581034,0.4731182796,0.01612903226,0.02688172043,0.7979166667,0.01606182796,3.665365926,1.978490264,0.959483369,31.26935238,14.79051451,5.261891555,6.066367068,29.55874348,9.473725908,14.53505669,0.0,34.77396375,21.327999,6.544756406,18.25485007,5.687386275,40.03047287,0.0,2.72396651,0.0,1.622721684,84.99,0.5723809524,0.5755385488,0.04273901809,148.1751399,28.28848451,-3.062389242,-1.966806931,-0.6798670227,0.7196377646,-0.3665019633,1801.206755,1.56,0.00449,-5.23,1.002186385,6.027276597,82.788247,-0.3325660112,0.02195145111,12.13273414,14.5640587,0.6300408374,0.985462394,-0.7550810005,0.0,1.05448454,-0.08843137255,0.1685026508,3.579439252,17.85771973,0.0,605.6248502,0.4340286995,1.145519176,12.10973091,6.792942306,9.967957042,1.433527104,-0.4639262959,1.359051541,0.9034556735,0.0,3.281210986,0.0,1.963017232,1.993581034,-0.2099914606,4.684372821,3.94,17.32342816,0.8109477047,0.01280117201,0.9504547559,0.9249655787,0.2749716524,0.03147163121,10.95430634,0.0,0.785,0.0,1.494767732,0.9500626698,0.211882716,1.113614514,1.059422739,0.5805272079,0.0,220.1064856,1.280050884,0.8940299164,3.66,55.45467375,0.0,0.0,0.2590230537,-3.0708,4.567099648,13.46849361,82.74899317
5.000147947,3.865979381,2.356688122,2.087254445,144.0134583,150.126197,156.8461685,153.5723163,156.7137158,67.91639792,-38.35570779,12.73336939,-20.64196863,51.04803271,-0.1398244797,-0.1165371515,-0.1514373106,1.314057055,1.162451852,0.7989429637,0.4318447912,1.122979597,1.142759713,1.240392507,1.226162045,1.006643446,0.5602350279,0.9656629185,1.277430991,0.802777227,1.07024599,1.104286557,1.264429857,0.8150876153,0.8248936248,0.9894774431,0.9625365914,1.045596152,1.098254068,1.20195393,0.9005178782,1.026477864,1.254770926,1.006670644,0.9886050964,0.1910926599,0.08464523789,0.8170731478,0.2038753515,0.0,0.679730678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125990226,0.4928571429,0.01923076923,0.007142857143,0.7879120879,0.0,3.544039244,1.882225511,0.7536365571,27.68479521,0.0,5.098681808,29.8000411,21.92719002,0.0,19.74844179,0.0,22.51475897,19.74844179,12.96557803,6.9237372,0.0,47.37110857,16.82083098,2.883960967,0.0,1.710001269,43.6,0.6131972789,0.4288548753,0.04044973545,9.627587987,20.78246748,-2.909144122,-1.147689069,-0.4462850492,0.3119019792,-0.02368572528,2177.837598,3.15,0.00255,-4.76,0.7974550893,3.042101874,77.68817633,-0.3820609895,0.007908222497,0.0,14.6923448,0.6772325814,0.9772839824,-0.6934683147,0.0,0.8986455872,-0.07398496241,0.5195100357,3.772277228,5.022633314,0.0,548.6699755,0.4240115564,1.14511589,0.0,0.0,4.983978521,1.300485838,-0.1729048171,1.119941906,1.015725093,0.0,2.736155566,0.0,1.927689804,4.039937257,-0.2100655562,4.672628198,5.14,0.0,1.23097982,0.08838902135,0.8089053773,0.7711968225,0.5624291309,0.04043209877,10.92992723,0.0,0.8338888889,0.0,1.164862524,1.121738954,0.1425,1.13482669,1.137244449,0.5726237653,0.0,225.4360959,1.395002385,1.065090219,3.37,49.59430021,0.0,0.0,0.2554720962,-4.821525149,9.665781456,26.31013685,69.51873519
4.831551496,3.412371134,2.789948692,2.688571257,146.5993687,154.1669417,159.7211343,160.2334063,157.6714408,75.11964444,26.19964444,11.87,-5.64,51.66154758,-0.1033774514,-0.1345191316,0.08512529267,0.8909175888,1.07023076,0.8003754203,0.4779477044,1.034606877,1.101335129,1.173792156,1.065235378,0.8960468008,0.6650115856,0.9456140351,1.107795261,0.5603797909,0.915101555,1.376825005,1.392880882,0.8749425937,0.8701675144,0.827745925,1.15118977,0.8922866148,1.228012266,1.106504655,0.8681295929,1.058849269,1.006497601,1.038845107,1.050911894,0.1756174026,0.1589936585,0.8298151429,0.1110709264,0.0,0.6971368173,-0.4359976129,0.0,11.85223036,5.145563254,0.0,3.1530174,0.0,2.097914513,0.4942528736,0.0,0.005747126437,0.8053763441,0.03485354097,3.995408502,1.648447688,0.5652932501,29.79848615,15.03763008,0.0,19.41092589,34.57272627,9.531400138,25.25270269,0.0,21.95893118,32.63603612,11.28161936,6.9237372,4.794537184,50.71112305,0.0,4.691401677,0.0,1.431447135,92.79,0.6370068027,0.4930909864,0.03995833333,36.04326419,28.99992128,-5.985861375,-0.7117091594,-0.09575072774,0.2428381953,0.2028940593,2421.485615,1.34,0.00457,-6.95,0.7700910901,7.008274068,81.25691284,0.6782531639,0.02086631515,22.67357176,14.55718738,0.6524964044,1.345096105,-0.7690013272,0.0,0.9431102027,-0.1179012346,0.7123406034,3.221153846,12.43128646,6.093240071,611.7380995,0.4417300497,1.05802969,6.606881965,6.544756406,19.74647275,0.6094207408,-0.6976939072,1.053708137,1.007065293,0.0,2.995061728,0.0,4.01544825,1.398763901,-0.4952715028,5.07856294,6.42,0.0,1.077275465,0.1817417942,0.7863053517,0.15058985,0.2749716524,0.03940972222,10.31100265,3.354832924,0.6772222222,0.0,1.763029204,1.061645855,0.2500154321,0.9257759784,1.131578947,0.5997530532,0.0,201.0115366,0.8092156719,1.154034302,3.4,25.47729296,0.0,0.0,0.2849899219,-0.03,0.0,33.23387405,87.60305908
4.84872166,3.341463415,2.748106061,2.791894353,150.1287662,155.577371,160.8336168,160.1387595,162.5521344,75.49586777,-2.421487603,11.33190083,-3.483636364,47.59726111,0.02791545152,-0.06188380767,-0.06019558339,0.9983987644,1.185920903,1.1312054,0.4701755915,1.182222662,0.9728418609,0.9583467224,1.052699229,0.9470689873,0.7054229688,1.141330729,1.109865471,0.5704406583,1.312861561,0.6390663656,0.7748292652,0.871503092,0.9051268693,1.094277983,0.9608184825,0.9262473304,1.310822657,1.247799371,0.9763069501,1.056870471,1.169295384,0.8864739701,1.061783366,0.1343410739,0.07858035979,0.8586399347,0.06365387513,0.0,0.6904812668,0.7953104794,0.0,11.33939598,0.0,0.0,0.0,0.0,1.980502618,0.4707070707,0.0303030303,0.02929292929,0.7768518519,0.04335016835,3.765946344,2.01541337,0.9098018185,29.638011,15.61755573,5.425791397,18.20875424,23.62654039,4.794537184,25.38663948,4.992404733,11.38785599,32.20656318,11.33929359,13.08951281,11.37477255,51.71376917,13.26227256,3.918105847,0.0,1.519969228,112.4,0.7356462585,0.5130385488,0.0399537037,33.44055909,31.04069865,-3.435346892,-1.670162037,-0.2684374989,0.3533697405,-0.2098917096,2410.562961,1.49,0.0997,-3.54,0.9140496176,7.00827392,85.04066761,-0.2035901915,0.0186773635,5.008912524,14.6395105,0.7346466579,1.018368909,-0.9643515379,0.0,0.9347432552,-0.0901048723,0.4853229115,3.478632479,6.544756406,0.0,601.4066598,0.4336985549,1.040498879,10.63357721,5.907179729,14.98529578,1.43420023,-0.5603503344,1.074838553,0.9651851934,4.213917549,3.318155785,0.0,3.451925134,8.094865803,-0.02673145223,4.871557895,2.38,0.0,1.102996329,0.1223222487,0.882874407,1.081051659,0.2749716524,0.04039115646,10.96037047,3.431604912,0.8405555556,0.0,1.636868804,0.9766129538,0.269382716,1.010262159,0.955958345,0.5805272079,7.325922689,212.3997465,1.778343852,1.018729314,0.0,43.33159265,0.0,0.0,0.3205231167,0.359338843,9.778515705,20.39223081,95.24651352
4.850608614,3.7,4.12394412,5.584929757,145.2099007,150.9997198,159.6007726,160.6028503,160.1861851,35.08,-28.30567901,5.32,-6.591111111,47.18135908,-0.05662620013,-0.1550138167,0.1450244576,0.9658537332,0.8583093994,0.7148405057,0.4082961782,0.8446876528,1.115985009,1.218909838,1.20279857,1.410596581,0.6997198007,1.020738204,1.355650685,0.5995147277,0.7924413668,0.9613873454,1.075988583,0.7736881998,0.9814459381,1.054480569,1.092971536,1.281192165,0.891441957,1.17065636,0.9941708864,0.9669628592,0.9082043996,1.068597897,0.9389262985,0.2122845906,0.1526629909,0.7417047715,0.1539444827,0.0,0.6844934983,0.0,0.0,11.36712758,0.0,0.0,1.523836425,0.0,1.621602104,0.4826190476,0.025,0.01738095238,0.8673809524,0.0,3.799581231,1.107309365,0.6,27.16226232,0.0,9.614079702,11.33678588,0.0,9.184952232,14.59805822,0.0,11.25737949,20.88421875,0.0,5.817220841,4.390415048,29.69887896,23.46952001,0.0,0.0,1.460883267,47.26,0.3673015873,0.3359552154,0.04452674897,208.8221789,19.17433041,-3.185761506,-0.8106417495,0.09260569599,0.02337361608,0.06641800929,539.8377532,2.25,0.0436,-4.23,0.8423549485,8.00191815,74.67254665,-0.08625581945,0.01415783136,16.64813203,17.42477091,-0.3087325657,1.331402253,-0.189537119,0.0,0.9760273973,-0.1504734057,0.377359381,3.737704918,22.26663496,0.0,368.2003928,0.4242761519,1.274107787,0.0,5.817220841,9.374393569,0.6049133325,-0.399968083,1.002935766,1.085386656,0.0,3.317786923,0.5374751778,0.0,3.088201969,-0.298848294,4.306890596,4.08,6.286160523,1.283404827,-0.007417446017,0.7183942825,0.2810286072,0.3305272079,0.05421146953,10.31198333,0.0,0.6288888889,0.0,1.288536526,1.176069713,0.04063271605,0.9036043117,1.117294521,0.6939295108,0.7590164399,231.4229108,1.000729117,0.8162878686,2.56,37.10711152,0.0,0.0,0.0625,0.8488888889,4.794537184,18.75954929,75.61833349
4.998950662,3.634782609,2.343209877,2.098566308,144.1851809,150.8419307,157.1409259,157.1307331,156.3895983,84.22907122,-138.755935,15.6122449,-22.40816327,52.07746353,-0.0723920825,-0.1537992578,-0.1695336829,1.291044865,1.145307783,1.07729835,0.4237798681,1.048971596,1.191190135,1.223242147,1.309652846,1.242377808,0.5886792453,1.006451613,1.32173913,0.7820508886,0.977530557,1.294388551,1.169309747,0.9097212439,0.8877379939,1.07607442,1.069253308,1.01391603,1.131625525,1.189452481,0.9769784468,0.9299587479,1.228789108,0.9765857501,0.9516078848,0.1811246968,0.08022885623,0.9048170651,0.2052184453,0.0,0.6807446078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151216564,0.4851851852,0.0,0.01481481481,0.7592592593,0.0,3.34144599,2.273263854,1.066625765,29.28526947,0.0,5.098681808,38.11294267,11.21062871,0.0,19.74844179,0.0,22.51475897,19.74844179,12.96557803,0.0,0.0,41.98488435,22.20705519,5.33564435,0.0,1.785102788,43.6,0.5251247166,0.4453656463,0.03528395062,10.62986842,14.69025353,-4.575509382,-1.338907896,-0.1111993468,0.2818209518,0.04606378681,2086.58422,3.09,0.00274,-4.91,0.8636022364,3.042109052,78.77833919,-0.3702080421,0.007025975686,0.0,14.6923448,0.9574012661,1.084688824,-0.5076268817,0.0,1.251612903,-0.04888019135,0.1869773622,3.495798319,5.917906046,0.0,564.9493743,0.4264627965,1.167407407,0.0,0.0,0.0,1.271761557,-0.1738111843,1.546567325,1.065210383,0.0,2.602449223,0.3931642474,4.354274593,4.110488526,-0.1449742169,4.548084079,5.1,0.0,1.210102218,0.1201297909,0.7663264984,0.5709174395,0.5624291309,0.04091183575,10.92992785,0.0,0.9033333333,0.0,1.193493389,1.133032406,0.156875,1.082352941,1.141085271,0.5879157169,0.0,204.758241,1.339748614,1.137079436,3.45,48.58846906,0.0,0.0,0.2355678382,-25.87755102,14.64975998,39.1517801,78.1496385
4.877473763,3.355555556,3.605429293,3.680365297,151.5257649,157.2635962,163.5218903,164.3794591,161.3458172,49.0,36.77777778,9.346938776,3.859410431,43.49756155,-0.05537400896,-0.06680925073,-0.06967460441,0.9874788557,1.11485472,0.9810562833,0.4052873563,1.012147335,1.090129795,1.027356322,1.054320141,0.9005668399,0.6710431655,1.032374101,1.109802158,0.5953059769,0.9977456833,1.131097181,0.8326726416,0.8267878547,0.8556774354,0.9731562305,1.13426717,0.945896658,1.054130241,1.072343379,1.026409886,1.029778526,0.8093704142,0.8210777852,0.8904870432,0.1524828092,0.1475073878,0.6258641428,0.08765981412,0.0,0.7026070582,-0.4136118403,0.0,12.0483115,0.0,0.0,0.0,0.0,1.686829229,0.4573129252,0.05357142857,0.04268707483,0.8531746032,0.03951247166,3.766037363,1.62628006,0.8337988097,33.15383706,10.63357721,9.780484743,0.0,17.57815784,13.57536728,25.06523039,0.0,11.25737949,32.82722828,0.0,11.63444168,24.95013983,18.19910121,24.12316206,0.0,1.501980667,1.426901074,84.73,0.5968253968,0.3211805556,0.03952020202,14.02949913,16.17687259,-2.922220665,-1.904626993,-0.1552706544,0.3627522401,-0.09845408509,1859.334395,2.75,0.0316,-4.06,0.9255540198,8.002961501,77.55900808,0.2484381157,0.02107586894,24.39594478,17.42581606,-0.574032603,0.9704744463,-0.7665509761,0.0,0.8591332414,-0.1527537938,0.1390272813,3.806818182,22.40817398,17.66555619,440.7358094,0.4375123208,0.8358710759,12.36446059,11.25737949,13.57536728,1.408721455,-0.5332051715,1.053688485,1.162603656,0.0,4.141203704,0.0,1.501980667,4.542837482,-0.5552669865,4.558518613,2.56,0.0,0.7883145401,0.01058830288,0.7127873563,0.563110172,0.4169635037,0.04619565217,10.95058273,0.0,0.7986111111,0.0,1.543163315,1.007327586,0.24125,1.126226292,1.049580336,0.3985685897,0.0,230.2216873,2.441587995,0.9989051513,3.03,36.39820241,0.0,0.0,0.2380794911,5.219954649,9.967957042,0.0,115.2841378
4.853464981,4.1,5.453186535,4.534979424,147.4612651,157.7221058,159.9476082,159.1225334,162.9607215,40.2265075,-81.96755433,3.752066116,-11.12396694,43.86052541,-0.02532760127,-0.2289025083,-0.337053202,1.066337923,0.6916775797,0.8996855229,0.3964611406,0.7824128347,0.8466251836,1.087901579,1.329232471,1.56203012,0.9346405229,0.9322033898,1.175490196,0.3591895554,0.4570906609,0.8341697233,1.049784255,0.7117645346,0.7793836392,0.9520079746,1.339381988,0.9366503436,0.8505278771,0.7492637709,0.5185500431,0.9734528773,0.9434064182,1.424684863,1.45619129,0.1746651557,0.2350145504,0.8991335537,0.1350287976,0.003018408053,0.7040406978,0.0,0.0,0.0,0.0,0.0,2.703659126,0.0,1.810150227,0.4843253968,0.0,0.01567460317,0.903047619,0.02512698413,3.995024711,1.049369409,0.4928685608,36.71808007,4.983978521,13.17124514,6.066367068,21.4210879,13.17124514,19.93591408,0.0,21.95893118,19.93591408,6.176298517,6.9237372,13.17124514,15.91054863,22.67357176,1.792035689,0.0,1.332445565,54.46,0.7413151927,0.5721017574,0.05052380952,31.96666154,30.5186832,-6.198717848,-0.5802035465,-0.309865363,0.155164361,0.1592967637,2275.114305,2.09,0.00251,-6.27,0.769467385,8.007385665,76.0550246,0.4204852996,0.02298572553,29.94707338,17.43069946,-1.023375378,1.160893635,-0.7647801471,0.01349873118,1.040369089,-0.2051545354,1.146647077,4.161290323,16.26500318,12.00070302,495.1233496,0.4227716594,1.252371917,0.0,5.693927995,14.95193556,0.6094207966,-0.5376671012,0.6291103254,1.013933528,0.0,6.504472693,0.0,1.792035689,-4.547725143,-0.3425855991,4.551525559,6.76,0.0,1.277335278,0.4746402992,0.5759029974,0.5275755222,0.7079843543,0.0418595679,10.3110028,2.417426304,0.9861111111,0.0,1.696664196,0.7536953859,0.1296990741,0.9184060721,1.137571157,0.5798241939,0.0,259.3842764,0.9151585641,1.189472042,2.49,19.05647134,0.0,0.0,0.2690932855,1.148760331,0.0,13.10003572,129.3440884
4.874762888,3.428571429,2.784425451,2.87962963,146.2217091,150.9941239,157.9963401,158.5402442,159.9072869,55.5171088,-23.45905421,9.852748943,-7.83160323,47.91974111,0.03965672389,-0.08469110507,-0.0283177358,1.161434476,1.029803856,0.9587730547,0.4816028966,1.128865679,1.08711971,1.017586478,1.112031134,1.008931429,0.6668742217,1.167654302,1.138392857,0.565111774,0.7913171568,1.048155457,0.6112380475,0.8091796514,0.9053723345,1.04259701,0.945187391,0.956465875,1.182217953,1.209208366,0.9438083753,1.101271972,1.132323358,0.9473387046,1.040676543,0.1627685423,0.07234939331,0.7702072531,0.06541342195,0.0,0.6848636974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004272784,0.478125,0.015625,0.021875,0.7588235294,0.02867647059,3.518533745,2.153891597,0.9798856559,32.01951086,10.30076712,5.261891555,12.13273414,46.29261463,0.0,24.9198926,0.0,28.71445679,24.9198926,6.544756406,18.25485007,5.687386275,50.88435568,0.0,2.468875052,0.0,1.643342141,103.17,0.5731972789,0.6198625283,0.045,26.81160078,31.05677271,-3.032394041,-1.691975118,-0.296404184,0.4181105421,-0.3103246066,2240.776417,0.92,0.00688,-5.11,0.9255739794,6.027276849,82.0946824,-0.3786331288,0.01486198692,24.52642128,14.56436552,0.6278206622,1.264940455,-0.8763399578,0.0,1.093576453,-0.08063241107,0.3027705096,3.585585586,12.1082079,0.0,640.9099505,0.4358612357,1.14199157,5.316788604,0.0,4.983978521,1.429020649,-0.4663149517,0.7914694334,0.9546010546,0.0,3.201310861,0.0,1.970757217,3.373206466,-0.115879851,4.692539686,5.01,0.0,1.036963422,0.01180930105,0.8774385893,0.5218755253,0.2749716524,0.02819444444,10.95053349,3.440154557,0.8372222222,0.0,1.484694136,0.9582596494,0.224066358,1.062106627,1.022769345,0.4971938746,0.0,223.4488281,2.118854928,0.9799381485,2.61,55.45467375,0.0,0.0,0.2559760015,-5.542099193,14.95193556,13.46849361,89.97702037
